Designator,Mid X(mm),Mid Y(mm),Layer,Rotation
C1,135.0000,-134.5000,Top,0.00
C2,150.0000,-139.5000,Top,0.00
C3,133.5000,-139.5000,Top,0.00
C4,146.3000,-106.5000,Top,90.00
C5,153.7000,-106.5000,Top,90.00
C6,120.9000,-97.0600,Top,135.00
C7,172.9400,-90.9000,Top,45.00
C8,127.0600,-149.1000,Top,45.00
C9,179.1000,-142.9400,Top,135.00
C10,115.8000,-114.5000,Top,0.00
C11,119.8000,-114.0000,Top,0.00
C12,123.8000,-114.5000,Top,0.00
C13,115.8000,-125.5000,Top,0.00
C14,119.8000,-126.0000,Top,0.00
C15,123.8000,-125.5000,Top,0.00
C16,112.8000,-117.5000,Top,0.00
C17,112.8000,-122.5000,Top,0.00
C18,109.3000,-116.0000,Top,90.00
C19,109.3000,-120.0000,Top,90.00
C20,147.5000,-91.5000,Top,0.00
C21,152.5000,-91.5000,Top,0.00
D1,125.7600,-90.6900,Top,135.00
D2,179.3100,-95.7600,Top,45.00
D3,120.6900,-144.2400,Top,45.00
D4,174.2400,-149.3100,Top,135.00
J1,141.0600,-149.7900,Bottom,0.00
J12,158.9400,-149.7900,Bottom,0.00
L1,146.5000,-135.0000,Top,0.00
Q1,150.0000,-100.0900,Top,0.00
R1,164.5000,-134.0000,Top,90.00
R2,164.5000,-137.5000,Top,90.00
R3,164.5000,-141.0000,Top,90.00
R4,155.0000,-100.0000,Top,90.00
R5,161.2900,-88.9900,Top,70.00
R6,138.7100,-88.9900,Top,20.00
R7,160.0000,-122.0000,Top,0.00
R8,109.3000,-124.0000,Top,90.00
R9,147.8000,-103.3000,Top,0.00
R10,152.2000,-103.3000,Top,180.00
U1,153.0000,-135.0900,Top,0.00
U2,150.1600,-106.5000,Top,0.00
U7,119.8000,-120.0000,Top,0.00
U8,150.0000,-87.0000,Top,0.00
